Quantity,Order Qty,Pack Size,Leftover,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
2,2,,,HW-C2-IC-STM32H723ZGT6-A,STM32H723ZGT6,,STM32H723ZGT6,mouser,511-STM32H723ZGT6
2,2,,,HW-C2-CONN-SSW-110-01-F-D-A,SSW-110-01-F-D,,SSW-110-01-F-D,mouser,200-SSW11001FD
2,2,,,HW-C2-CONN-TSW-110-21-L-D-LL-A,TSW-110-21-L-D-LL,,TSW-110-21-L-D-LL,mouser,200-TSW11021LDLL
16,1,100,84,HW-C2-MECH-90128A232-A,90128A232,,90128A232,mcmaster,90128A232
10,1,50,40,HW-C2-MECH-90225A102-A,90225A102,,90225A102,mcmaster,90225A102
36,1,50,14,HW-C2-MECH-91292A134-A,91292A134,,91292A134,mcmaster,91292A134
8,1,50,42,HW-C2-MECH-91294A220-A,91294A220,,91294A220,mcmaster,91294A220
12,1,25,13,HW-C2-MECH-91502A180-A,91502A180,,91502A180,mcmaster,91502A180
12,2,10,8,HW-C2-MECH-91502A183-A,91502A183,,91502A183,mcmaster,91502A183
12,12,,,HW-C2-MECH-94669A190-A,94669A190,,94669A190,mcmaster,94669A190
12,12,,,HW-C2-MECH-94669A196-A,94669A196,,94669A196,mcmaster,94669A196
12,12,,,HW-C2-MECH-94669A199-A,94669A199,,94669A199,mcmaster,94669A199
12,12,,,HW-C2-MECH-94669A202-A,94669A202,,94669A202,mcmaster,94669A202
50,2,25,0,HW-C2-MECH-98044A224-A,98044A224,,98044A224,mcmaster,98044A224
16,16,,,HW-C2-HW-0022011042-A,0022011042,,0022011042,mouser,
64,64,,,HW-C2-HW-08-50-0113-A,08-50-0113,,08-50-0113,mouser,
8,8,,,HW-C2-HW-22-04-1041-A,22-04-1041,,22-04-1041,mouser,538-22-04-1041
2,2,,,HW-C2-HW-3M156058-ND-A,3M156058-ND,,3M156058-ND,digikey,3M156058-ND
6,6,,,HW-C2-HW-455-2266-ND-A,455-2266-ND,,455-2266-ND,mouser,306-XHP-2
50,50,,,HW-C2-HW-464762-E-A,464762-E,,464762-E,mouser,305-464762
10,10,,,HW-C2-HW-524265-E-A,524265-E,,524265-E,mouser,305-524265-E
10,10,,,HW-C2-HW-544959-E-A,544959-E,,544959-E,mouser,
2,2,,,HW-C2-HW-776231-1-A,776231-1,,776231-1,mouser,571-776231-1
16,16,,,HW-C2-HW-971150581-A,971150581,,971150581,mouser,710-971150581
16,16,,,HW-C2-HW-971250581-A,971250581,,971250581,mouser,710-971250581
16,16,,,HW-C2-HW-971350581-A,971350581,,971350581,mouser,710-971350581
16,16,,,HW-C2-HW-9774030592R-A,9774030592R,,9774030592R,mouser,710-9774030592R
4,4,,,HW-C2-HW-ACT45B-101-2P-TL003-A,ACT45B-101-2P-TL003,,ACT45B-101-2P-TL003,mouser,810-ACT45B1012PTL003
4,4,,,HW-C2-HW-AWHSH105D00G-A,AWHSH105D00G,,AWHSH105D00G,mouser,523-AWHSH105D00G
6,6,,,HW-C2-HW-B2B-XH-AM_LF__SN_-A,B2B-XH-AM_LF__SN_,,B2B-XH-AM_LF__SN_,mouser,306-B2B-XH-AMLFSNP
24,24,,,HW-C2-HW-B58031U9254M062-A,B58031U9254M062,,B58031U9254M062,mouser,871-B58031U9254M062
24,24,,,HW-C2-HW-BAT54WS-7-F-A,BAT54WS-7-F,,BAT54WS-7-F,mouser,621-BAT54WS-F
10,10,,,HW-C2-HW-BTS462TATMA1-A,BTS462TATMA1,,BTS462TATMA1,mouser,726-BTS462TATMA1
6,6,,,HW-C2-HW-CM600DY-24T-A,CM600DY-24T,,CM600DY-24T,mouser,CM600DY-24T
2,2,,,HW-C2-HW-DRDNB21D-7-A,DRDNB21D-7,,DRDNB21D-7,mouser,621-DRDNB21D-7
2,2,,,HW-C2-HW-EC7BW-110S12-A,EC7BW-110S12,,EC7BW-110S12,mouser,418-EC7BW-110S12
24,24,,,HW-C2-HW-FDFNYD1-110-5-A,FDFNYD1-110(5),,FDFNYD1-110(5),mouser,161-FDFNYD1-1105
8,8,,,HW-C2-HW-LA37S600S05KM-A,LA37S600S05KM,,LA37S600S05KM,mouser,838-LA37S600S05KM
2,2,,,HW-C2-HW-LT3080IQ-PBF-A,LT3080IQ#PBF,,LT3080IQ#PBF,mouser,584-LT3080IQ#PBF
4,4,,,HW-C2-HW-LTST-C230CKT-A,LTST-C230CKT,,LTST-C230CKT,mouser,859-LTST-C230CKT
4,4,,,HW-C2-HW-LTST-C230GKT-A,LTST-C230GKT,,LTST-C230GKT,mouser,859-LTST-C230GKT
2,2,,,HW-C2-HW-MF-RHT200_32-2-A,MF-RHT200_32-2,,MF-RHT200_32-2,mouser,652-MF-RHT200/32-2
12,12,,,HW-C2-HW-MGJ2D121509MPC-R7-A,MGJ2D121509MPC-R7,,MGJ2D121509MPC-R7,mouser,580-MGJ2D121509MPCR7
12,12,,,HW-C2-HW-MKP1848S61010JY5B-A,MKP1848S61010JY5B,,MKP1848S61010JY5B,mouser,75-MKP1848S61010JY5B
10,10,,,HW-C2-HW-MM3Z3V0ST1G-A,MM3Z3V0ST1G,,MM3Z3V0ST1G,mouser,863-MM3Z3V0ST1G
2,2,,,HW-C2-HW-NXFT15XH103FEAB021-A,NXFT15XH103FEAB021,,NXFT15XH103FEAB021,mouser,81-NXFT15XH103FEAB21
2,2,,,HW-C2-HW-RD7-12S033R-A,RD7-12S033R,,RD7-12S033R,mouser,737-RD7-12S033R
6,6,,,HW-C2-HW-RKE-1205S_H-A,RKE-1205S_H,,RKE-1205S_H,mouser,919-RKE-1205S/H
4,4,,,HW-C2-HW-RTS103C1R2M6L201-A,RTS103C1R2M6L201,,RTS103C1R2M6L201,mouser,527-RTS103C1R2M6L201
4,4,,,HW-C2-HW-S3N-A,S3N,,S3N,mouser,512-S3N
4,4,,,HW-C2-HW-SSW-103-01-L-D-A,SSW-103-01-L-D,,SSW-103-01-L-D,mouser,200-SSW10301LD
2,2,,,HW-C2-HW-SSW-104-01-L-D-A,SSW-104-01-L-D,,SSW-104-01-L-D,mouser,200-SSW10401LD
4,4,,,HW-C2-HW-SSW-108-01-L-D-A,SSW-108-01-L-D,,SSW-108-01-L-D,mouser,200-SSW10801LD
2,2,,,HW-C2-HW-SSW-110-01-F-D-A,SSW-110-01-F-D,,SSW-110-01-F-D,mouser,
2,2,,,HW-C2-HW-STS41A-AWLB-R3-A,STS41A-AWLB-R3,,STS41A-AWLB-R3,mouser,403-STS41A-AWLB-R3
12,12,,,HW-C2-HW-STTH112A-A,STTH112A,,STTH112A,mouser,511-STTH112A
12,12,,,HW-C2-HW-SXH-001T-P0-6-A,SXH-001T-P0.6,,SXH-001T-P0.6,mouser,306-SXH-001T-P0.6
8,8,,,HW-C2-HW-SZMMSZ4678T1G-A,SZMMSZ4678T1G,,SZMMSZ4678T1G,mouser,863-SZMMSZ4678T1G
42,42,,,HW-C2-HW-TESTPOINT-TH-RED-A,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,TestPoint,mouser,534-5000
2,2,,,HW-C2-HW-TPS389006ADJRTER-A,TPS389006ADJRTER,,TPS389006ADJRTER,mouser,595-TPS389006ADJRTER
4,4,,,HW-C2-HW-TS40-66-50-R-260-SMT-TR-A,TS40-66-50-R-260-SMT-TR,,TS40-66-50-R-260-SMT-TR,mouser,179-TS406650R260S
4,4,,,HW-C2-HW-TSW-103-18-G-D-A,TSW-103-18-G-D,,TSW-103-18-G-D,mouser,200-TSW10318GD
4,4,,,HW-C2-HW-TSW-108-18-F-D-A,TSW-108-18-F-D,,TSW-108-18-F-D,mouser,200-TSW10818FD
2,2,,,HW-C2-HW-TSW-110-18-T-D-A,TSW-110-18-T-D,,TSW-110-18-T-D,mouser,200-TSW11018TD
26,26,,,HW-C2-HW-UCM1H101MCL1GS-A,UCM1H101MCL1GS,,UCM1H101MCL1GS,mouser,647-UCM1H101MCL1GS
120,120,,,HW-C2-HW-UCS2D331MHD-A,UCS2D331MHD,,UCS2D331MHD,mouser,647-UCS2D331MHD
2,2,,,HW-C2-HW-UJ2-B-HR-G-V-A,UJ2-B-HR-G-V,,UJ2-B-HR-G-V,mouser,179-UJ2-B-HR-G-V
36,36,,,HW-C2-HW-VY1222M47Y5UQ6TV0-A,VY1222M47Y5UQ6TV0,,VY1222M47Y5UQ6TV0,mouser,72-VY1222M47Y5UQ6TV0
2,2,,,HW-C2-PCB-CTRL-A,ControlBoard,,ControlBoard,pcb,ControlBoard
2,2,,,HW-C2-PCB-DCBUSCAP-A,DCBusCapacitorBoard,,DCBusCapacitorBoard,pcb,DCBusCapacitorBoard
2,2,,,HW-C2-PCB-DCFLT-A,DCBusFilter,,DCBusFilter,pcb,DCBusFilter
2,2,,,HW-C2-PCB-GD-A,GateDriver,,GateDriver,pcb,GateDriver
2,2,,,HW-C2-PCB-IO-A,IOBoard,,IOBoard,pcb,IOBoard
2,2,,,HW-C2-PLT-BSP-A,HW-C2-BSP-A,,HW-C2-BSP-A,sendcutsend,HW-C2-BSP-A
2,2,,,HW-C2-PLT-CHSP-A,HW-C2-CHSP-A,,HW-C2-CHSP-A,sendcutsend,HW-C2-CHSP-A
54,54,,,HW-C2-RES-10K-A,10k 1210,CBPN-B3D5Z-10k,10k,mouser,603-AC1210JR-0710KL
8,8,,,HW-C2-RES-120-A,120 1210,CBPN-K6UIE-120,120,mouser,603-AC1210FR-07120RL
34,34,,,HW-C2-RES-1K-A,1k 1210,CBPN-F0NOB-1k,1k,mouser,603-RC1210FR-071KL
24,24,,,HW-C2-RES-2R7-A,2.7 ohm 1210,CBPN-VEDNZ-27,2.7,mouser,667-ERJ-14BQF2R7U
32,32,,,HW-C2-RES-20K-A,20k 1210 resistor,CBPN-ZYB6M-20k,20k,mouser,667-ERJ-P14F2002U
2,2,,,HW-C2-RES-220-A,220 1210,CBPN-SZ7LV-220,220,mouser,603-RC1210FR-07220RL
6,6,,,HW-C2-RES-3K-A,3k 1210 1%,,3k,mouser,603-RC1210FR-073KL
6,6,,,HW-C2-RES-4K7-A,4.7k 1210,CBPN-5Z102-47k,4.7k,mouser,71-CRCW12104K70FKEAH
2,2,,,HW-C2-RES-499K-A,499kohm 1210 resistor,CBPN-IPSO6-499k,499k,mouser,667-ERJ-P14F4993U
4,4,,,HW-C2-RES-560-A,560ohm 1210 resistor,CBPN-HMOLG-560,560,mouser,667-ERJ-P14F5600U
32,32,,,HW-C2-RES-250K-A,Thick Film Resistors - SMD 1/2watt 249Kohms 1%,CBPN-MZWIW-250k,250k,mouser,71-CRCW1210-249K-E3
2,2,,,HW-C2-WH-TSBCM-A,CapacitorTempSenseHarness,,CapacitorTempSenseHarness,assembly,
8,8,,,HW-C2-WH-CS-A,CurrentSenseHarness,,CurrentSenseHarness,assembly,
2,2,,,HW-C2-WH-GDVS-A,GDVSHarness,,GDVSHarness,assembly,
4,4,,,HW-C2-WH-TSIGBT-A,TempSenseHarness,,TempSenseHarness,assembly,
